FID,Id,Name,zone,owner,resp_pers,height,floor,area_sqm,bldg_m,3d_model,lat,long,attach
0,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03244641,99.88865615,
1,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03216555,99.88864426,
2,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03188469,99.88864426,
3,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03160383,99.88866803,
4,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03133421,99.88863238,
5,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03097471,99.88864426,
6,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03067138,99.88862049,
7,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03043545,99.88860861,
8,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03244641,99.88926223,
9,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03215432,99.88926223,
10,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03160383,99.88921469,
11,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03131174,99.88922658,
12,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.030941,99.88922658,
13,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03069384,99.88920281,
14,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03040175,99.88920281,
15,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03016582,99.88920281,
16,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.02991867,99.88919093,
17,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03243518,99.89018918,
18,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03216555,99.89022483,
19,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03171618,99.89018918,
20,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03145779,99.89018918,
21,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03116569,99.89018918,
22,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03089606,99.89018918,
23,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.0305478,99.89015353,
24,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03031187,99.89015353,
25,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03171618,99.8909141,
26,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03143532,99.89093787,
27,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03113199,99.89092599,
28,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03052533,99.8907715,
29,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.0302894,99.8907715,
30,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03158136,99.89178163,
31,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03128927,99.89172221,
32,0,ศูนย์อาหารเวียงพ, , , ,0,0,0, , ,19.03243518,99.89109236,
33,0,โรงอาหาร ม.พะเยา, , , ,0,0,0, , ,19.02653255,99.8935571,
34,0, , , , ,0,0,0, , ,19.02655053,99.89448881,
35,0, , , , ,0,0,0, , ,19.02624494,99.89456486,
36,0,คณะรัฐศาสตร์และส, , , ,0,0,0, , ,19.02593037,99.89460289,
37,0,คณะนิติศาสตร์, , , ,0,0,0, , ,19.02615506,99.89518283,
38,0, , , , ,0,0,0, , ,19.02666737,99.8952684,
39,0, , , , ,0,0,0, , ,19.02678421,99.89493564,
40,0, , , , ,0,0,0, , ,19.02720663,99.89288209,
41,0, , , , ,0,0,0, , ,19.02749424,99.89308174,
