FID,Id,Name,zone,sci_name,Specie,spec_code,thai_name,local_name,dbh_cm,height_m,crow_cov_s,3d,date_surve,status,lat,long,detail,attach
20,D11-1_20,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0293272798999,99.8881164154999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
23,D11-1_23,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0288609055,99.8879831656,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
24,D11-1_24,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0289751195999,99.8879736477999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
26,D11-1_26,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0291178873,99.8882020759999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
27,D11-1_27,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0290322267,99.888325808,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
28,D11-1_28,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0292701728,99.8883638794,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
29,D11-1_29,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0292987262999,99.8884495399999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
30,D11-1_30,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0295557080999,99.8883353259,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
31,D11-1_31,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0295176367,99.8881354510999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
34,D11-1_34,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0295081189,99.8888302537999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
35,D11-1_35,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.029317762,99.8889825393,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
37,D11-1_37,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0291274050999,99.8887255574999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
38,D11-1_38,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0290322267,99.8884971292,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
39,D11-1_39,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0288133162999,99.8881735224999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
40,D11-1_40,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0287181377999,99.8883162901999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
41,D11-1_41,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0288704232999,99.8884400220999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
42,D11-1_42,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0288037983999,99.8885352006,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
43,D11-1_43,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0286515129,99.8884495399999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
45,D11-1_45,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0287752449,99.8888017002,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
46,D11-1_46,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0288989768999,99.8886494146999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
47,D11-1_47,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0289180125999,99.8888302537999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
48,D11-1_48,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0289846374999,99.88893495,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
50,D11-1_50,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0289846374999,99.8891062712,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
52,D11-1_52,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0291178873,99.8893346994999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
53,D11-1_53,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.029317762,99.8896297527,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
54,D11-1_54,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0291369229999,99.8896773418999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
55,D11-1_55,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0290417444999,99.8895060206999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
56,D11-1_56,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0289656018,99.8893918066,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
57,D11-1_57,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.0287847628,99.8892014496999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
59,D11-1_59,ต้นไม้,D,Shorea obtusa Wall. ex Blume.,DIPTEROCARPACEAE,D11-1,เต็ง,แงะ (เหนือ),0,0,0, http://files.digitisation.unimelb.edu.au/potree/pointclouds/hakea_macrorrhyncha.html,12/19/62, ,19.02870862,99.8889539856999,ไม้ต้นขนาดเล็กถึงขนาดกลาง สูง 10-25 เมตร ผลัดใบ เรือนยอดเป็นพุ่มกว้าง ลำต้นเปลาตรงหรือคดงอ,
